type,cluster_size,ratio,antennae
gw,50,25,7.393836447464207
gw,50,50,7.582707740098369
gw,50,100,7.604393904231453
gw,100,25,13.819227230910764
gw,100,50,14.93011280039235
gw,100,100,15.138652797158443
gw,200,25,26.949423247559892
gw,200,50,27.79656293543892
gw,200,100,29.947590660705416
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,2.3077254142457497
relay,50,50,2.336050670343064
relay,50,100,2.397445981585157
relay,100,25,2.642155162446526
relay,100,50,2.6929968018607355
relay,100,100,2.8178408852592494
relay,200,25,3.040428627385149
relay,200,50,3.1023495906016376
relay,200,100,3.2873266265849157
