type,cluster_size,ratio,antennae
gw,50,25,5.627274933268624
gw,50,50,5.804556044524981
gw,50,100,5.827415486965267
gw,100,25,10.481140754369825
gw,100,50,11.347474252084355
gw,100,100,11.51807687428644
gw,200,25,20.323868677905946
gw,200,50,21.009289363678587
gw,200,100,22.62071535022355
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,2.1849426665436993
relay,50,50,2.176906631501129
relay,50,100,2.179537007048227
relay,100,25,2.4482310093652444
relay,100,50,2.462294664922227
relay,100,100,2.5133418043202034
relay,200,25,2.751552795031056
relay,200,50,2.7733357066571735
relay,200,100,2.8750997083159713
