bw_type,cluster_size,ratio,bw
max,50,25,2436.2295087237844
max,50,50,2443.7814510335543
max,50,100,2423.55457522864
max,100,25,2425.8635474062053
max,100,50,2451.3413852250546
max,100,100,2461.1786657002203
max,200,25,2402.9526229563007
max,200,50,2430.4666131267145
max,200,100,2467.3336435611386
min,50,25,123.42928124923053
min,50,50,115.29564244523152
min,50,100,106.2979225553075
min,100,25,72.54157081993807
min,100,50,66.0980234920877
min,100,100,60.84592086575857
min,200,25,38.939055302265736
min,200,50,37.5698817814537
min,200,100,34.225469541043516
min_dl,50,25,124.0672910945595
min_dl,50,50,115.96520497386366
min_dl,50,100,106.88641982558197
min_dl,100,25,72.94009574962067
min_dl,100,50,66.4111293178939
min_dl,100,100,61.1841535242187
min_dl,200,25,39.12025467846507
min_dl,200,50,37.80355910850388
min_dl,200,100,34.38444083907074
min_ul,50,25,1134.9865622700197
min_ul,50,50,1015.2824748420219
min_ul,50,100,857.1161217366862
min_ul,100,25,931.5434643478866
min_ul,100,50,878.1643993950502
min_ul,100,100,738.3272446918834
min_ul,200,25,781.1243291881223
min_ul,200,50,732.1173360641886
min_ul,200,100,626.8154127547913
