type,cluster_size,ratio,antennae
gw,50,25,3.2608590148022323
gw,50,50,3.163991716282682
gw,50,100,3.029009050823857
gw,100,25,3.5078196872125114
gw,100,50,3.477439921530162
gw,100,100,3.3408600786502602
gw,200,25,4.190771960958297
gw,200,50,4.419879238272179
gw,200,100,4.678340784898162
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,2.076270404869501
relay,50,50,2.0241563267997362
relay,50,100,1.9404216598035133
relay,100,25,2.2242166724476817
relay,100,50,2.199247710423027
relay,100,100,2.1354782201058464
relay,200,25,2.3351799003972915
relay,200,50,2.3112139551441793
relay,200,100,2.277647479016608
