type,cluster_size,ratio,antennae
gw,50,25,3.7959233195826254
gw,50,50,3.7978255242039864
gw,50,100,3.7466542894716484
gw,100,25,6.535878564857406
gw,100,50,7.064982834722904
gw,100,100,7.153494862362045
gw,200,25,12.438331854480923
gw,200,50,12.818392940083605
gw,200,100,13.743417784401391
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,2.100679393771711
relay,50,50,2.061499730264341
relay,50,100,2.006215395055445
relay,100,25,2.2882703202682393
relay,100,50,2.2769661287977905
relay,100,100,2.252464193631956
relay,200,25,2.48657042135303
relay,200,50,2.4755962976148096
relay,200,100,2.4895291386392047
