type,cluster_size,ratio,antennae
gw,50,25,3.314001455957292
gw,50,50,3.240227802226249
gw,50,100,3.138779299141332
gw,100,25,5.368905243790248
gw,100,50,5.604708190289357
gw,100,100,5.61702397564379
gw,200,25,9.830523513753327
gw,200,50,10.085926614026938
gw,200,100,10.845504222553403
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,2.086722616741984
relay,50,50,2.0395812104137945
relay,50,100,1.9700488903283517
relay,100,25,2.2541912359810383
relay,100,50,2.2368076755342345
relay,100,100,2.194359803111237
relay,200,25,2.420038050472833
relay,200,50,2.402313990744037
relay,200,100,2.393916304541937
