type,cluster_size,ratio,antennae
gw,50,25,3.5971851492356226
gw,50,50,3.6004400724825265
gw,50,100,3.546839947396921
gw,100,25,5.90984360625575
gw,100,50,6.325404610102992
gw,100,100,6.377901814030191
gw,200,25,11.12866015971606
gw,200,50,11.388759869948908
gw,200,100,12.327372081470442
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,2.091549079283101
relay,50,50,2.047753201862175
relay,50,100,1.9833896266136122
relay,100,25,2.268210197710718
relay,100,50,2.253234481756069
relay,100,100,2.2183294062496146
relay,200,25,2.4494432320519275
relay,200,50,2.4342114631541474
relay,200,100,2.4353116256920053
