type,cluster_size,ratio,antennae
gw,50,25,3.263528269837418
gw,50,50,3.1665803779446025
gw,50,100,3.032025992109538
gw,100,25,3.512419503219871
gw,100,50,3.484796468857283
gw,100,100,3.3530381834327034
gw,200,25,4.582963620230701
gw,200,50,4.69019972131909
gw,200,100,4.851217088922007
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,2.076301146669126
relay,50,50,2.024376111410817
relay,50,100,1.9408072302163821
relay,100,25,2.2247369638108454
relay,100,50,2.200138101468237
relay,100,100,2.1365268131407213
relay,200,25,2.3373622069274242
relay,200,50,2.3139195443218226
relay,200,100,2.280766712304304
