#cluster_size,ratio,fiber_cost_get_min,fiber_cost_get_max,transport_cost_get_min,transport_cost_get_max,unplanned_cost_get_min,unplanned_cost_get_max,power_consumption_get_min,power_consumption_get_max,capex_min,capex_max,capex_sat_min,capex_sat_max,recurring_min,recurring_max,sum_min,sum_max
50,25,11.712830398931223,15.617107198574963,18.876394051371303,18.876394051371303,1.5751677987498613,1.5751677987498613,2.881067407680242,5.2819569140804425,20.179472122330033,28.500574999961433,16.487886959792363,20.861560409206078,35.045459656732625,41.35062596277656,55.22493177906266,69.85120096273799
50,50,11.415919351599117,15.221225802132155,10.341606499007574,10.341606499007574,1.3178813624022,1.3178813624022,2.4718061220153023,4.531644557028054,16.426611390111802,22.4992883441349,14.209339778174098,17.911077738256214,25.547213335024193,31.412358220569985,41.973824725136,53.91164656470488
50,100,11.478664435071925,15.304885913429235,7.772845743585226,7.772845743585226,1.0305634952176783,1.0305634952176783,1.9956233170380853,3.658642747903156,13.231886535352688,17.75126223740498,11.800565261478035,14.789422373558835,22.27769699091291,27.766937900135293,35.5095835262656,45.518200137540276
100,25,12.350169927833887,16.466893237111854,20.69046485518157,20.69046485518157,1.6098637268173361,1.6098637268173361,2.813802502485186,5.158637921222841,17.76999742548948,25.168683318518603,14.8698797234885,19.167456077355848,37.46430101231798,43.9258597403336,55.23429843780746,69.0945430588522
100,50,11.351810984084432,15.135747978779246,10.22164775981982,10.22164775981982,1.3768497893941023,1.3768497893941023,2.3850008409819408,4.372501541800224,14.129693844707868,19.58189149942107,12.362390595488064,15.924802549101708,25.3353093742803,31.106747069793393,39.465003218988166,50.68863856921446
100,100,11.240154363462477,14.986872484616635,6.880621558765054,6.880621558765054,1.0711581937973105,1.0711581937973105,1.908061923731216,3.4981135268405623,11.003708967481975,14.964672372962157,9.931414599302592,12.745768578670095,21.099996039756057,26.43676576401956,32.103705007238034,41.40143813698172
200,25,11.773969352036145,15.698625802714858,19.102558379581147,19.102558379581147,1.7492129820836186,1.7492129820836186,2.83616632547417,5.1996382633693115,15.641754543867998,21.863326683467342,13.856903530378005,18.16992606176751,35.46190703917508,41.750035427748934,51.10366158304308,63.613362111216276
200,50,11.936003970838483,15.914671961117978,11.056379839312878,11.056379839312878,1.3944275675960252,1.3944275675960252,2.3877766713507955,4.377590564143124,13.032067559533063,18.110202522247207,11.625584153622878,15.199759775744926,26.77458804909818,32.74306993217001,39.806655608631246,50.853272454417215
200,100,11.18399143354899,14.911988578065317,6.860209061651455,6.860209061651455,1.1107130892190415,1.1107130892190415,1.8899428304105699,3.464895189086045,9.92534219229751,13.632939506226473,9.059765453190877,11.841797476901412,21.04485641483005,26.347805918021855,30.97019860712756,39.980745424248326
