type,cluster_size,ratio,antennae
gw,50,25,3.2669255035185634
gw,50,50,3.170981102769868
gw,50,100,3.0366674402413554
gw,100,25,3.6476540938362465
gw,100,50,3.7506130456105935
gw,100,100,3.708232906253964
gw,200,25,5.819875776397516
gw,200,50,6.012540640966094
gw,200,100,6.446597118728266
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,2.0774693350548743
relay,50,50,2.0262143099762233
relay,50,100,1.9439072163358473
relay,100,25,2.2274829460053187
relay,100,50,2.2044265154819014
relay,100,100,2.1434721999481874
relay,200,25,2.349812545464719
relay,200,50,2.3275186899252405
relay,200,100,2.2981248883862135
