bw_type,cluster_size,ratio,bw
max,50,25,2436.2295087237844
max,50,50,2443.7814510335543
max,50,100,2423.55457522864
max,100,25,2425.8635474062053
max,100,50,2451.3413852250546
max,100,100,2461.1786657002203
max,200,25,2402.9526229563007
max,200,50,2430.4666131267145
max,200,100,2467.3336435611386
min,50,25,123.58737269037147
min,50,50,115.56234756309806
min,50,100,106.63510019275846
min,100,25,73.0737564796769
min,100,50,67.21339053097837
min,100,100,62.330710235040534
min,200,25,46.910563817414825
min,200,50,49.15999088298833
min,200,100,49.17377895867343
min_dl,50,25,124.22647198429489
min_dl,50,50,116.2325451957265
min_dl,50,100,107.22474555694559
min_dl,100,25,73.49495789015069
min_dl,100,50,67.54261050917773
min_dl,100,100,62.69501609930999
min_dl,200,25,47.35269934989797
min_dl,200,50,49.876074156436616
min_dl,200,100,50.018024513761674
min_ul,50,25,1134.9865622700197
min_ul,50,50,1015.2824748420219
min_ul,50,100,857.1161217366862
min_ul,100,25,931.5434643478866
min_ul,100,50,878.1643993950502
min_ul,100,100,738.3272446918834
min_ul,200,25,781.1243291881223
min_ul,200,50,732.1173360641886
min_ul,200,100,626.8154127547913
