ratio,mid_deploy,mid_fiber_cost,mid_radio_cost,mid_router_cost,devation_deploy,devation_fiber_cost,devation_radio_cost,devation_router_cost
25,560.3320012072601,339.91799259879053,349.7284136125685,168.33243794566752,36.01148973617103,118.42288284653037,87.60113804601772,42.08310948641688
50,491.5206474975281,204.16446653449165,289.3434379399026,147.50632533843367,28.45731092351346,71.12816981822957,72.4724520379998,36.87658133460842
100,418.2682691749164,131.79483413162387,220.6212696692116,129.47793182123394,21.218864967021716,45.91555769914466,55.25965064800616,32.369482955308484
