ratio,mid_deploy,mid_fiber_cost,mid_radio_cost,mid_router_cost,devation_deploy,devation_fiber_cost,devation_radio_cost,devation_router_cost
25,506.2111097486003,267.0403482949122,128.04706725779775,133.57384399369033,0.0,93.03328617485359,32.01176681444943,33.39346099842258
50,421.7818791510379,162.731765986175,106.22592917386184,108.48851737991579,0.0,56.693571032986746,26.556482293465464,27.122129344978944
100,343.10372802799907,98.7359448741433,81.97443939538243,89.65340014031794,0.0,34.39828278338025,20.493609848845605,22.41335003507949
