mgb,802.11ad_pro_25,802.11ad_pro_50,802.11ad_pro_100
40,1373.0958129280798,1377.34021094903,1367.095645183047
70,1373.0958129280798,1377.34021094903,1367.095645183047
80,1373.0958129280798,1377.34021094903,1367.095645183047
90,1373.0958129280798,1377.34021094903,1367.095645183047
