,,,cost_customer_mid,cost_customer_mid,cost_customer_mid,cost_customer_mid,cost_customer_devation,cost_customer_devation,cost_customer_devation,cost_customer_devation
type_cost,,,deploy,fiber_cost,radio_cost,router_cost,deploy,fiber_cost,radio_cost,router_cost
ratio,device,mgb,,,,,,,,
25,802.11ac,5,515.5664125050505,257.10196331646586,122.99540836965815,136.91552506914613,0.0,89.57088575589309,30.74885209241454,34.22888126728653
25,802.11ac,10,515.5664125050505,257.10196331646586,128.1995836881392,136.91552506914613,0.0,89.57088575589309,32.0498959220348,34.22888126728653
25,802.11ac,20,515.5664125050505,257.10196331646586,128.1995836881392,136.91552506914613,0.0,89.57088575589309,32.0498959220348,34.22888126728653
25,802.11ac,30,515.5664125050505,257.10196331646586,146.6068432237448,136.91552506914613,0.0,89.57088575589309,36.6517108059362,34.22888126728653
25,802.11ac,40,515.5664125050505,257.10196331646586,146.6068432237448,136.91552506914613,0.0,89.57088575589309,36.6517108059362,34.22888126728653
25,802.11ac,50,,,,,,,,
25,802.11ac,60,,,,,,,,
25,802.11ac,70,,,,,,,,
25,802.11ac,80,,,,,,,,
25,802.11ac,90,,,,,,,,
25,802.11ac,100,,,,,,,,
25,802.11ad_pro,5,,,,,,,,
25,802.11ad_pro,10,515.5664125050505,257.10196331646586,358.04052187486855,136.91552506914613,0.0,89.57088575589309,89.68639484522464,34.22888126728653
25,802.11ad_pro,20,515.5664125050505,257.10196331646586,358.04052187486855,136.91552506914613,0.0,89.57088575589309,89.68639484522464,34.22888126728653
25,802.11ad_pro,30,515.5664125050505,257.10196331646586,358.04052187486855,136.91552506914613,0.0,89.57088575589309,89.68639484522464,34.22888126728653
25,802.11ad_pro,40,477.0586502596957,257.10196331646586,366.69938714646855,136.91552506914613,38.507762245354854,89.57088575589309,91.85992276279045,34.22888126728653
25,802.11ad_pro,50,515.5664125050505,257.10196331646586,369.9708392085866,136.91552506914613,0.0,89.57088575589309,92.68111493577801,34.22888126728653
25,802.11ad_pro,60,515.5664125050505,257.10196331646586,369.9708392085866,136.91552506914613,0.0,89.57088575589309,92.68111493577801,34.22888126728653
25,802.11ad_pro,70,477.0586502596957,257.10196331646586,373.42853672422393,136.91552506914613,38.507762245354854,89.57088575589309,93.54905800279687,34.22888126728653
25,802.11ad_pro,80,477.0586502596957,257.10196331646586,366.69938714646855,136.91552506914613,38.507762245354854,89.57088575589309,91.85992276279045,34.22888126728653
25,802.11ad_pro,90,477.0586502596957,257.10196331646586,373.42853672422393,136.91552506914613,38.507762245354854,89.57088575589309,93.54905800279687,34.22888126728653
25,802.11ad_pro,100,515.5664125050505,257.10196331646586,369.9708392085866,136.91552506914613,0.0,89.57088575589309,92.68111493577801,34.22888126728653
50,802.11ac,5,439.44995822044194,165.46800569768018,101.25515208587723,115.73197687913535,0.0,57.646840356326344,25.313788021469303,28.932994219783836
50,802.11ac,10,439.44995822044194,165.46800569768018,106.19026241300372,115.73197687913535,0.0,57.646840356326344,26.547565603250934,28.932994219783836
50,802.11ac,20,439.44995822044194,165.46800569768018,106.19026241300372,115.73197687913535,0.0,57.646840356326344,26.547565603250934,28.932994219783836
50,802.11ac,30,439.44995822044194,165.46800569768018,123.28040168542641,115.73197687913535,0.0,57.646840356326344,30.820100421356603,28.932994219783836
50,802.11ac,40,439.44995822044194,165.46800569768018,123.28040168542641,115.73197687913535,0.0,57.646840356326344,30.820100421356603,28.932994219783836
50,802.11ac,50,,,,,,,,
50,802.11ac,60,,,,,,,,
50,802.11ac,70,,,,,,,,
50,802.11ac,80,,,,,,,,
50,802.11ac,90,,,,,,,,
50,802.11ac,100,,,,,,,,
50,802.11ad_pro,5,,,,,,,,
50,802.11ad_pro,10,439.44995822044194,165.46800569768018,294.7307489886095,115.73197687913535,0.0,57.64684035632635,73.82323340989625,28.932994219783836
50,802.11ad_pro,20,439.44995822044194,165.46800569768018,294.7307489886095,115.73197687913535,0.0,57.64684035632635,73.82323340989625,28.932994219783836
50,802.11ad_pro,30,439.44995822044194,165.46800569768018,294.7307489886095,115.73197687913535,0.0,57.64684035632635,73.82323340989625,28.932994219783836
50,802.11ad_pro,40,409.0127024586034,165.46800569768018,303.10051898290914,115.73197687913535,30.437255761838486,57.646840356326344,75.92419331348573,28.932994219783836
50,802.11ad_pro,50,439.44995822044194,165.46800569768018,306.1223684803512,115.73197687913535,0.0,57.64684035632635,76.68273083998066,28.932994219783836
50,802.11ad_pro,60,439.44995822044194,165.46800569768018,306.1223684803512,115.73197687913535,0.0,57.64684035632635,76.68273083998066,28.932994219783836
50,802.11ad_pro,70,409.0127024586034,165.46800569768018,309.25800073259893,115.73197687913535,30.437255761838486,57.646840356326344,77.46982984495467,28.932994219783836
50,802.11ad_pro,80,409.0127024586034,165.46800569768018,303.10051898290914,115.73197687913535,30.437255761838486,57.646840356326344,75.92419331348573,28.932994219783836
50,802.11ad_pro,90,409.0127024586034,165.46800569768018,309.25800073259893,115.73197687913535,30.437255761838486,57.646840356326344,77.46982984495467,28.932994219783836
50,802.11ad_pro,100,439.44995822044194,165.46800569768018,306.1223684803512,115.73197687913535,0.0,57.64684035632635,76.68273083998066,28.932994219783836
100,802.11ac,5,358.78837482787145,103.4107806862393,76.86018426369567,96.48209238518842,0.0,36.0269330630259,19.215046065923918,24.120523096297106
100,802.11ac,10,358.78837482787145,103.4107806862393,81.89136421352809,96.48209238518842,0.0,36.0269330630259,20.472841053382023,24.120523096297106
100,802.11ac,20,358.78837482787145,103.4107806862393,81.89136421352809,96.48209238518842,0.0,36.0269330630259,20.472841053382023,24.120523096297106
100,802.11ac,30,358.78837482787145,103.4107806862393,98.53165528878232,96.48209238518842,0.0,36.0269330630259,24.632913822195576,24.120523096297106
100,802.11ac,40,358.78837482787145,103.4107806862393,98.53165528878232,96.48209238518842,0.0,36.0269330630259,24.632913822195576,24.120523096297106
100,802.11ac,50,,,,,,,,
100,802.11ac,60,,,,,,,,
100,802.11ac,70,,,,,,,,
100,802.11ac,80,,,,,,,,
100,802.11ac,90,,,,,,,,
100,802.11ac,100,,,,,,,,
100,802.11ad_pro,5,,,,,,,,
100,802.11ad_pro,10,358.78837482787145,103.4107806862393,223.4674331153658,96.48209238518842,0.0,36.0269330630259,55.97119453564454,24.120523096297106
100,802.11ad_pro,20,358.78837482787145,103.4107806862393,223.4674331153658,96.48209238518842,0.0,36.0269330630259,55.97119453564454,24.120523096297106
100,802.11ad_pro,30,358.78837482787145,103.4107806862393,223.4674331153658,96.48209238518842,0.0,36.0269330630259,55.97119453564454,24.120523096297106
100,802.11ad_pro,40,336.39407787931026,103.4107806862393,232.18350119044908,96.48209238518842,22.394296948561202,36.0269330630259,58.159081365889335,24.120523096297106
100,802.11ad_pro,50,358.78837482787145,103.4107806862393,235.26740707093074,96.48209238518842,0.0,36.0269330630259,58.93319613914457,24.120523096297106
100,802.11ad_pro,60,358.78837482787145,103.4107806862393,235.26740707093074,96.48209238518842,0.0,36.0269330630259,58.93319613914457,24.120523096297106
100,802.11ad_pro,70,336.39407787931026,103.4107806862393,238.35332785391097,96.48209238518842,22.394296948561202,36.0269330630259,59.70781668846797,24.120523096297106
100,802.11ad_pro,80,336.39407787931026,103.4107806862393,232.18350119044908,96.48209238518842,22.394296948561202,36.0269330630259,58.159081365889335,24.120523096297106
100,802.11ad_pro,90,336.39407787931026,103.4107806862393,238.35332785391097,96.48209238518842,22.394296948561202,36.0269330630259,59.70781668846797,24.120523096297106
100,802.11ad_pro,100,358.78837482787145,103.4107806862393,235.26740707093074,96.48209238518842,0.0,36.0269330630259,58.93319613914457,24.120523096297106
