type,cluster_size,ratio,antennae
gw,50,25,2.6090754671196312
gw,50,50,2.5216153248770388
gw,50,100,2.409762512570589
gw,100,25,2.9264029438822448
gw,100,50,2.9512015693967633
gw,100,100,2.9172903716859064
gw,200,25,4.875776397515528
gw,200,50,5.082675336739434
gw,200,100,5.495280675608544
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.718159181038458
relay,50,50,1.6821914523766708
relay,50,100,1.6239763105538334
relay,100,25,1.8179558330442827
relay,100,50,1.7998982410234046
relay,100,100,1.7616362985899507
relay,200,25,1.8993061384365733
relay,200,50,1.88999644001424
relay,200,100,1.8701351270908984
