type,cluster_size,ratio,antennae
gw,50,25,4.604464935695219
gw,50,50,4.644576753818276
gw,50,100,4.6194786106598595
gw,100,25,8.349586016559337
gw,100,50,8.965914664051006
gw,100,100,9.043638208803754
gw,200,25,16.02218278615794
gw,200,50,16.48211797491872
gw,200,100,17.733482364629907
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.805619600971441
relay,50,50,1.8026933605067035
relay,50,100,1.8080013572078533
relay,100,25,1.9994797086368366
relay,100,50,2.013483064398895
relay,100,100,2.0628539001492703
relay,200,25,2.226288400201444
relay,200,50,2.254004983980064
relay,200,100,2.3369843443062086
