type,cluster_size,ratio,antennae
gw,50,25,2.6335840815336082
gw,50,50,2.61208904996117
gw,50,100,2.5278873675253344
gw,100,25,3.798528058877645
gw,100,50,4.089749877390878
gw,100,100,4.211594570594952
gw,200,25,7.093167701863354
gw,200,50,7.337668369716674
gw,200,100,7.933929458519622
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.7226474837837007
relay,50,50,1.6887050690323484
relay,50,100,1.635990684618825
relay,100,25,1.830674066366054
relay,100,50,1.816470417211804
relay,100,100,1.7872466414181913
relay,200,25,1.9376084158692854
relay,200,50,1.9310074759700961
relay,200,100,1.9231025656289065
