type,cluster_size,ratio,antennae
gw,50,25,2.9082746906090753
gw,50,50,2.887134351540254
gw,50,100,2.8606791985766225
gw,100,25,4.991260349586017
gw,100,50,5.380823933300637
gw,100,100,5.426360522643663
gw,200,25,9.313220940550133
gw,200,50,9.570366929865305
gw,200,100,10.281917536015897
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.7320237326693104
relay,50,50,1.7015924394093789
relay,50,100,1.658569687996422
relay,100,25,1.8566019192970287
relay,100,50,1.8459078354411977
relay,100,100,1.8312998852715856
relay,200,25,1.9912427955906218
relay,200,50,1.9890530437878249
relay,200,100,1.998571343532353
