type,cluster_size,ratio,antennae
gw,50,25,5.215966998301383
gw,50,50,5.287470877556303
gw,50,100,5.290786725458343
gw,100,25,9.388684452621895
gw,100,50,10.084600294261893
gw,100,100,10.20550551820373
gw,200,25,18.15527950310559
gw,200,50,18.68044588945657
gw,200,100,20.128415300546447
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.8341172492237696
relay,50,50,1.8405162940318487
relay,50,100,1.8633075772297536
relay,100,25,2.0493698693490576
relay,100,50,2.074847361535107
relay,100,100,2.1440890193804667
relay,200,25,2.3068658720832635
relay,200,50,2.346368814524742
relay,200,100,2.456431930472052
