type,cluster_size,ratio,antennae
gw,50,25,2.5986411065275417
gw,50,50,2.5084131504012426
gw,50,100,2.3923570820762743
gw,100,25,2.768629254829807
gw,100,50,2.7388425698871997
gw,100,100,2.6215907649372068
gw,200,25,2.922803904170364
gw,200,50,2.9489084997677657
gw,200,100,2.9716840536512668
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.7176980540440838
relay,50,50,1.6813123139323463
relay,50,100,1.6219096531408566
relay,100,25,1.8132154006243497
relay,100,50,1.7942651548190145
relay,100,100,1.7530008265380392
relay,200,25,1.8807845112192938
relay,200,50,1.868867924528302
relay,200,100,1.8450026787308769
