type,cluster_size,ratio,antennae
gw,50,25,2.87041980101917
gw,50,50,2.855164380015532
gw,50,100,2.8111704185039064
gw,100,25,4.562097516099356
gw,100,50,4.747425208435508
gw,100,100,4.7993149816059875
gw,200,25,8.40550133096717
gw,200,50,8.681374825824431
gw,200,100,9.321907600596125
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.7271665283285684
relay,50,50,1.6950188814961338
relay,50,100,1.6477120251700366
relay,100,25,1.8450398890045092
relay,100,50,1.8326791684837913
relay,100,100,1.8120797917617597
relay,200,25,1.967601141514185
relay,200,50,1.9635457458170167
relay,200,100,1.965140782189416
