type,cluster_size,ratio,antennae
gw,50,25,6.139529240475612
gw,50,50,6.222883769091379
gw,50,100,6.221706505763131
gw,100,25,11.179852805887764
gw,100,50,12.080676802354095
gw,100,100,12.248382595458581
gw,200,25,21.714285714285715
gw,200,50,22.290292614955874
gw,200,100,24.117983109786387
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.914968182237388
relay,50,50,1.9434554136945794
relay,50,100,2.004087046376409
relay,100,25,2.174702277719968
relay,100,50,2.2190543683674955
relay,100,100,2.3328357656579612
relay,200,25,2.4808068938503722
relay,200,50,2.5437522249911
relay,200,100,2.7040776236680757
