type,cluster_size,ratio,antennae
gw,50,25,3.8461538461538463
gw,50,50,3.9886098886875487
gw,50,100,4.022201593563858
gw,100,25,7.15639374425023
gw,100,50,7.735164296223639
gw,100,100,7.873905873398452
gw,200,25,13.701863354037267
gw,200,50,14.148629818857408
gw,200,100,15.287133631395927
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.7702972732023732
relay,50,50,1.7563587684069613
relay,50,100,1.7418220515430527
relay,100,25,1.9366689790727252
relay,100,50,1.940670882395697
relay,100,100,1.963360925722604
relay,200,25,2.131581892451458
relay,200,50,2.145674617301531
relay,200,100,2.1994761592951964
