type,cluster_size,ratio,antennae
gw,50,25,2.6115020626061636
gw,50,50,2.5252394512037277
gw,50,100,2.415332250328769
gw,100,25,3.2750689972401106
gw,100,50,3.541687101520353
gw,100,100,3.568438411772168
gw,200,25,5.793256433007985
gw,200,50,5.967951695308871
gw,200,100,6.4408842523596626
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.7195425620215807
relay,50,50,1.68444923974505
relay,50,100,1.6274927127191967
relay,100,25,1.8215111573592322
relay,100,50,1.8052587585404856
relay,100,100,1.769951024537077
relay,200,25,1.9125118907727603
relay,200,50,1.9037735849056603
relay,200,100,1.8885886064646704
