bw_type,cluster_size,ratio,bw
max,50,25,325.3982787821723
max,50,50,325.66398566821067
max,50,100,324.47580219602344
max,100,25,324.9467088868058
max,100,50,326.3832968592891
max,100,100,326.51106882909005
max,200,25,323.7049583737337
max,200,50,325.46908463648447
max,200,100,327.2228916742776
min,50,25,35.882946995178294
min,50,50,35.747319212355535
min,50,100,35.413435013352995
min,100,25,34.40772660319945
min,100,50,34.873671287611174
min,100,100,34.24156785948357
min,200,25,31.544319207989105
min,200,50,31.61028372482587
min,200,100,31.09229060972618
min_dl,50,25,37.73747921966768
min_dl,50,50,37.93206953987795
min_dl,50,100,38.173391991808636
min_dl,100,25,39.81072578899663
min_dl,100,50,40.54933127208715
min_dl,100,100,40.90673943010265
min_dl,200,25,41.35983479530687
min_dl,200,50,41.61606273278116
min_dl,200,100,42.23759707431359
min_ul,50,25,150.35573219873547
min_ul,50,50,134.8055504137971
min_ul,50,100,114.55781640730461
min_ul,100,25,123.02052653377412
min_ul,100,50,116.04428884466117
min_ul,100,100,97.67930351299974
min_ul,200,25,102.90439550874983
min_ul,200,50,96.52591155005477
min_ul,200,100,82.64642128669914
