type,cluster_size,ratio,antennae
gw,50,25,3.4229555933025964
gw,50,50,3.4620761066528605
gw,50,100,3.463758025837395
gw,100,25,5.86752529898804
gw,100,50,6.311427170181462
gw,100,100,6.3653431434732965
gw,200,25,11.11712511091393
gw,200,50,11.385508592661402
gw,200,100,12.32588176850472
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.7433059731316671
relay,50,50,1.7183160502707346
relay,50,100,1.684665093539382
relay,100,25,1.883281304197017
relay,100,50,1.87796191306876
relay,100,100,1.8769815324261976
relay,200,25,2.0411560628951935
relay,200,50,2.0448558205767178
relay,200,100,2.0705994404428836
