type,cluster_size,ratio,antennae
gw,50,25,4.62848823101189
gw,50,50,4.674216929847269
gw,50,100,4.648951806296898
gw,100,25,8.498620055197792
gw,100,50,9.13805787150564
gw,100,100,9.231891411899023
gw,200,25,16.32209405501331
gw,200,50,16.872271249419416
gw,200,100,18.206656731246895
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.8060192443665652
relay,50,50,1.8030929688904873
relay,50,100,1.8086028470519286
relay,100,25,2.002399121285698
relay,100,50,2.016554004942579
relay,100,100,2.0673196728389733
relay,200,25,2.234234234234234
relay,200,50,2.262086151655393
relay,200,100,2.3475444966962318
