type,cluster_size,ratio,antennae
gw,50,25,2.5986411065275417
gw,50,50,2.5084131504012426
gw,50,100,2.3923570820762743
gw,100,25,2.7709291628334864
gw,100,50,2.740313879352624
gw,100,100,2.624254725358366
gw,200,25,3.134871339840284
gw,200,50,3.327914537854157
gw,200,100,3.6259314456035767
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.7176980540440838
relay,50,50,1.6813123139323463
relay,50,100,1.6219096531408566
relay,100,25,1.8135622615331253
relay,100,50,1.7948102921936329
relay,100,100,1.754000074018332
relay,200,25,1.882854904594035
relay,200,50,1.870932716269135
relay,200,100,1.847931424489553
