type,cluster_size,ratio,antennae
gw,50,25,5.475855374909003
gw,50,50,5.525368884286824
gw,50,100,5.5018179005182954
gw,100,25,9.917203311867524
gw,100,50,10.687101520353114
gw,100,100,10.79690473170113
gw,200,25,19.077196095829635
gw,200,50,19.616813748258245
gw,200,100,21.149279682066567
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.8608318730978513
relay,50,50,1.8756818318048312
relay,50,100,1.9121362143154583
relay,100,25,2.087553474390103
relay,100,50,2.1194759412705335
relay,100,100,2.2034023759884533
relay,200,25,2.3597448380057076
relay,200,50,2.405108579565682
relay,200,100,2.5316030716114053
