#cluster_size,mean_25,mean_50,mean_100,ci_25,ci_50,ci_100
50,627.4591261035868,378.3038858921674,244.12335808771132,81.88753059069448,45.42484200705878,25.090584175652964
100,511.6351242950545,306.577473393282,192.89389714192757,75.81039896166682,38.418661352307026,22.66451280670141
200,371.806406532593,255.12367647847287,155.6363298273068,53.61738626124857,38.310481093480135,20.12741805370108
