#cluster_size,mean_25,mean_50,mean_100,ci_25,ci_50,ci_100
50,439.1690200382828,264.473737223275,182.03380464894485,63.033835733644594,35.37933012774372,22.230458491885077
100,348.5910760021792,214.45127843645693,127.95015899224434,60.96322376535207,31.07233424858395,17.151952238804377
200,209.78668119302336,167.74131442450118,105.72232479856658,40.178827457751794,29.98154932763111,15.976408138039615
