#,antennae,type
39542,3,relay
39543,3,relay
39544,2,relay
39545,2,relay
39546,2,relay
39550,2,relay
39551,1,relay
39554,2,relay
39558,2,relay
39560,2,relay
39562,2,relay
39571,2,relay
39576,2,relay
39578,2,relay
39581,2,relay
39582,2,relay
39584,2,relay
39589,2,relay
39591,4,relay
39593,2,relay
39594,2,relay
39596,3,relay
39599,2,relay
39603,1,relay
39610,3,gw
39611,2,relay
39612,2,relay
39616,1,relay
39617,2,relay
39619,3,gw
39620,2,relay
39622,3,relay
39623,2,relay
39624,2,relay
39625,2,relay
39631,2,relay
39632,3,relay
39633,2,relay
39640,2,relay
39642,2,relay
39645,2,relay
39647,2,relay
39651,1,relay
39654,2,relay
39655,2,relay
39657,1,relay
39658,2,relay
39663,3,gw
39665,2,relay
39666,2,relay
39667,3,relay
39669,2,relay
39671,1,relay
39672,1,relay
39674,2,relay
39678,2,relay
39683,2,relay
39688,2,relay
39689,2,relay
39691,2,relay
39692,2,relay
39695,2,relay
39701,2,relay
39702,1,relay
39705,2,relay
39706,2,relay
39711,2,relay
39716,1,relay
39719,2,relay
39725,2,relay
39727,2,relay
39728,2,relay
39735,2,relay
39736,3,relay
39738,2,relay
39740,1,relay
39743,2,relay
39744,3,relay
39746,2,relay
39747,2,relay
39748,2,relay
39750,2,relay
39751,2,relay
39752,2,relay
39754,3,gw
39756,2,relay
39757,2,relay
39758,2,relay
39759,2,relay
39762,2,relay
39768,2,relay
39770,1,relay
39774,2,relay
39778,2,relay
39780,2,relay
39781,2,relay
39785,2,relay
39786,2,relay
39787,3,relay
39788,2,relay
39790,2,relay
39795,2,relay
39798,2,relay
39799,3,relay
39801,2,relay
39804,2,relay
39805,2,relay
39807,3,relay
39808,2,relay
39809,3,relay
39810,2,relay
39812,2,relay
39815,2,relay
39816,2,relay
39817,2,relay
39818,2,relay
39828,2,relay
39829,2,relay
39831,2,relay
39832,1,relay
39833,2,relay
39834,2,relay
39836,2,relay
39839,2,relay
39840,2,relay
39843,1,relay
39851,2,relay
39853,2,relay
39856,2,relay
39859,2,relay
39863,2,relay
39864,3,relay
39866,3,gw
39869,2,relay
39871,2,relay
39874,2,relay
39880,1,relay
39881,2,relay
39882,3,relay
39885,2,relay
39886,3,gw
39888,2,relay
39890,2,relay
39892,2,relay
39896,2,relay
39897,2,relay
39899,2,relay
39904,2,relay
39906,2,relay
39907,2,relay
39908,2,relay
39910,2,relay
39913,3,relay
