#failed,mean_dijkstra_1,mean_dijkstra_2,mean_espfp_2,ci_dijkstra_1,ci_dijkstra_2,ci_espfp_2
0,1.0,1.0,1.0,0.0,0.0,0.0
1,0.9949778677978254,0.9956918786986853,0.9977278336551598,0.0006174526603389528,0.0005240625170474865,0.00029038998571081885
2,0.9894328675155224,0.9913699808052193,0.995785007750943,0.0009789071892526314,0.0007697465037771044,0.0003744240682185353
3,0.9838435789201374,0.9871664803096919,0.993322594671441,0.0013274280492990053,0.0009435989888744784,0.0005192212474376648
4,0.9781777386819379,0.9827045723131332,0.9908822087419535,0.0017061883635558492,0.0011374044791508467,0.0006145077703753629
5,0.9726750490776255,0.9783636605051139,0.9883441151059412,0.001962897598929089,0.0012901596834391544,0.0007699989091064063
6,0.966916135164662,0.9732029322685906,0.9857854962219121,0.0023015152718598468,0.0015655153369026902,0.0008956086159128705
7,0.9605529626284443,0.9681475706313021,0.9832314285493653,0.0025833202806647727,0.0017823437887011958,0.0010117530042257406
8,0.9545939745114975,0.9631585952814476,0.9804949682515917,0.002916628593144559,0.0020469467511344736,0.0011226266751693176
9,0.9483679055458828,0.9577511857882431,0.9779049015106477,0.0032854221620440467,0.0022914832515584143,0.0012347209207959505
10,0.9419337422676128,0.9529894577460786,0.9753971931273011,0.0036640815607159095,0.002493245739522035,0.001343778222354855
11,0.9351777570007408,0.9475709395955806,0.9728382179727315,0.004071645944352323,0.002747569135391556,0.001455497719316632
12,0.929150377050185,0.9423474983473218,0.9703057514941299,0.004376848768051075,0.0030114687696407238,0.0015524388905917015
13,0.9214468677576853,0.9372912471349193,0.9680164620319501,0.004838450924745332,0.003252367388286589,0.0016369657710026079
14,0.9139856408557699,0.9318741626342413,0.965435993484489,0.005222689514139134,0.003489547510946998,0.0017418583932167105
15,0.9069122427654689,0.9257278502633992,0.9626994604289151,0.005667511016931956,0.003824851714148781,0.0018711477940412432
16,0.8990893788004857,0.919576960640328,0.9600161428425541,0.006068546602879951,0.0041121644144357155,0.0019763380132369716
17,0.8926203378595596,0.913507031435462,0.9572472998075267,0.006366727972827148,0.004372575265770491,0.0021115654946621642
18,0.8852296132997483,0.9073249508631784,0.9547422692494216,0.006836055914998662,0.004657655943030636,0.002199486061995725
19,0.8782341905946756,0.9015919310571635,0.9517342493957779,0.0071529354317002485,0.004915546264061709,0.0023208787455846185
20,0.8709097503694971,0.8957254979403978,0.9487039149210001,0.007547057604453796,0.00521849992555984,0.0024501283377320244
21,0.8629386321791518,0.8898229811372478,0.9459016821438734,0.008007187883886482,0.005519763226488896,0.0025712323528164086
22,0.8552980333786835,0.8836350222373363,0.9428569080778947,0.008406018338477464,0.005802538696044916,0.0027091147489936313
23,0.847573881079308,0.8781817852085086,0.9396309338568399,0.008816729018777912,0.0060548051364115035,0.002870268123660729
24,0.8398711479008902,0.8719357062955627,0.9364643182532623,0.009156217038837329,0.006345435451793759,0.0030078606947534026
25,0.8328356819080865,0.865481830820297,0.9331332078988082,0.009477812813796624,0.006659004071821701,0.003149556836306125
26,0.8253054414180371,0.8594401156486786,0.9300150130076316,0.009910149266241381,0.006944150613533819,0.003269805503330962
27,0.8182529469348472,0.8528855444946879,0.9267761839143662,0.010272192833676846,0.00724335219336821,0.003421262090539055
28,0.8102743668866247,0.8467236853109656,0.9233110074835293,0.010628789737354257,0.007495837999323057,0.0035959890255082873
29,0.8006485289889154,0.8400376452501201,0.9202509848447926,0.011180286238344576,0.007795562229874857,0.003727387469663618
30,0.7936278857595791,0.8330048437103472,0.9170377820655862,0.011547253272978616,0.00817968377317169,0.003869463006192172
31,0.78503335446529,0.8253485230473814,0.9138720682858239,0.011987125492256848,0.00855432877152126,0.00402224705809058
32,0.777491776850276,0.8189822275800693,0.9105488670927199,0.012381292282679889,0.008862372609251497,0.004176621947545674
