#cluster_size,mean_20,mean_25,mean_50,mean_100,ci_20,ci_25,ci_50,ci_100
50,599.392449590634,509.14147464361275,313.36032653738175,191.09104783522886,32.61508592625201,26.226855936172473,15.236458731075142,8.968701358404516
100,490.00998958295605,423.0051156703548,247.3869853008267,158.70720102247597,33.04065520167743,26.44484502969139,12.548684953467601,7.74467616551443
200,325.32555158939783,269.5723018482159,208.7773467784419,122.01509558670169,24.633412315649153,17.950185125184372,13.089284636951188,6.195073793084759
